artist_name;track_name
Dido;This Land Is Mine
Air;Once Upon A Time
Teitur;Amanda's Dream
Willy Mason;We Can Be Strong
Poe;Amazed
Four Tops;Reach Out_ I'll Be There
Charlotte Gainsbourg;Morning Song
Girls in Hawaii;Found in the ground
Alison Krauss;Stay
Elliott Smith;Speed Trials
Junior Boys;Last Exit
Chris Brown;Yo (Excuse Me Miss)
David Gray;Babylon
M83;Skin Of The Night
Lionel Richie;Stuck On You
Dido;Take My Hand
Dido;Worthless
KT Tunstall;Silent Sea
Morcheeba;Big Calm
The Cardigans;Paralyzed
Tones On Tail;Twist
Nina Simone;I Put A Spell On You
Ashanti;Rain On Me
Massive Attack;What Your Soul Sings
Massive Attack;A Prayer For England
Massive Attack;Risingson
Massive Attack;Group Four
Massive Attack;Karmacoma
Massive Attack;Spying Glass
KT Tunstall;Another Place To Fall
Kelis;Suspended
Tom Waits;Big In Japan
Massive Attack;Splitting The Atom
Massive Attack;Girl I Love You
Massive Attack;Paradise Circus (Gui Boratto Remix)
The Herbaliser;The Sensual Woman
Hybrid;Dream Stalker
UNKLE;In A State
Lou Rhodes;Save Me
Fever Ray;If I Had A Heart
Faith No More;Helpless
Polly Scattergood;Poem Song
UNKLE;Hold My Hand
Fever Ray;Triangle Walks
Fever Ray;Concrete Walls
Bon Iver;Woods
Midlake;We Gathered In Spring
KT Tunstall;Under The Weather
Commodores;Oh No
Nick Lachey;This I Swear
Elliott Smith;Rose Parade
Nina Simone;Mr. Bojangles
Adele;Daydreamer (album)
Monica;For You I Will
Coldplay;Don't Panic
Enya;If I Could Be Where You Are
Nightwish;Wanderlust
Luxuria;We Keep On Getting There
KT Tunstall;Beauty Of Uncertainty
Vienna Teng;Anna Rose
A-Ha;The Sun Never Shone That Day
John Parish / PJ Harvey;Urn With Dead Flowers In A Drained Pool
Massive Attack;Atlas Air
Joan As Police Woman;The Ride
The Weakerthans;Psalm For The Elks Lodge Last Call
The Weakerthans;Time's Arrow
Lizz Wright;Hey Mann
Sharleen Spiteri;You Let Me Down
Joni Mitchell;Shine
Chris De Burgh;Shine On
Johnny Hartman;In The Wee Small Hours Of The Morning
The Notting Hillbillies;Feel Like Going Home
GRANDADDY;Taster
Eddi Reader;Bell_ Book And Candle
V V Brown;Travelling Like The Light
Stacey Kent;'Tis Autumn
Edie Brickell;Lost In The Moment
Marylin Monroe;The River Of No Return
Little Milton;Tin Pan Alley
Nina Simone;Isn't It A Pity
Carly Simon;Hold Out Your Heart
Morcheeba;Fragments Of Freedom
Kid Cudi;Sky Might Fall
Hot Chip;Made In The Dark
Emiliana Torrini;Tuna Fish
M83;You Appearing
Anna Ternheim;Halfway To Fivepoints
Dar Williams;Mercy of the Fallen
Donavon Frankenreiter;Swing On Down
Jimmy Eat World;Work
Vienna Teng;Now Three
Natasha Bedingfield;Silent Movie
John Martyn;Go Down Easy
Alan Jackson;A Little Bluer Than That
Alan Jackson;Bring On The Night
Katherine Jenkins;Rejoice
Natalie Imbruglia;Hurricane
Vienna Teng;Homecoming (Walter's Song)
Melissa Etheridge;Precious Pain
Bob Evans;Rocks In My Head
Hot Chip;In The Privacy Of Our Love
The Sundays;Leave This City
Amos Lee;Soul Suckers
Catherine Wheel;Thunderbird
Edward Sharpe & The Magnetic Zeros;Brother
Faith No More;Edge Of The World
Mystery Jets;Little Bag Of Hair
Kris Allen;Written All Over My Face
Monica Zetterlund;The second time around
She & Him;Sing
Bone Thugs-N-Harmony;Weed Song
K'Naan;In The Beginning
T-Rex;Telegram Sam
Edie Brickell;Green
Ozark Henry;Weekenders
Chris Brown;Just Fine
Live;Rattlesnake
Julie Doiron;Taller Beauty
The Honorary Title;Cut Short
The White Stripes;Blue Orchid
Wall Of Voodoo;Lost Weekend
Jim Cuddy;Disappointment
John Martyn;Solid Air
Incubus;Pardon Me
Lou Reed;Walk On The Wild Side
Laleh;Live Tomorrow
Chris Botti;Someone To Watch Over Me
Stevie Ray Vaughan And Double Trouble;Lenny
Lizz Wright;My Heart
Heather Nova;Walking Higher
Donavon Frankenreiter;On My Mind
Donavon Frankenreiter;Butterfly
Vienna Teng;Enough To Go By
The Cardigans;A Good Horse
Patty Griffin;Sweet Lorraine
Air;Sex Born Poison
Pati Yang;Soul For Me
Chumbawamba;Pass It Along
Stars;What The Snowman Learned About Love
Stars;The Vanishing
Hungry Lucy;To Kill A King
Dubtribe Sound System;Do It Now
Faithless;To All New Arrivals
Heather Nova;River Of Life
Yeasayer;Sunrise
Moby;Temptation
Air;Heaven's Light
The Zombies;Summertime
Maps;Glory Verse
Jem;Stay Now
Hot Chip;Bad Luck
The Honorary Title;Cats in Heat
Ron Sexsmith;Gold In Them Hills
Maps;Lost My Soul
Incubus;Aqueous Transmission
Babyface;Red Dress
David Gray;Flame Turns Blue
Brad Mehldau;Paranoid Android
Foals;Electric Bloom
Righteous Brothers;Ebb Tide
The White Stripes;Prickly Thorn_ But Sweetly Worn
Lavender Diamond;The Garden Rose
Gentle Giant;Isn't It Quiet And Cold
Nina Simone;Trouble In Mind
John Fogerty;Who'll Stop The Rain
Lizz Wright;Soon As I Get Home
The Sundays;Hideous Towns
Coldplay;Now My Feet Won't Touch The Ground
Blessid Union Of Souls;End Of The World
Faith No More;The Real Thing
Alison Krauss;It Wouldn't Have Made Any Difference
Demi Lovato;Falling Over Me
Jefferson Starship;Count On Me
Kurt Nilsen;Beautiful Day
Chris Botti;Hallelujah
Fall Out Boy;Growing Up
Garbage;Bad Boyfriend
Hoagy Carmichael;Hong Kong Blues
Jimmy Eat World;Carry You
Racoon;Love You More
Stars;Time Can Never Kill The True Heart
Shelby Lynne;Just A Little Lovin'
Venus Hum;Bella Luna
Shelby Lynne;Johnny Met June
Coldplay;Everything's Not Lost 
Enya;Na Laetha Geal M'oige
Patty Griffin;Forgiveness
Maps;Elouise
Bon Iver;Blindsided
Stereolab;Miss Modular
Simple Plan;God Must Hate Me
Aerosmith;Lord Of The Thighs
Katie Melua;What I Miss About You
Enya;Water Shows The Hidden Heart
Journey;When You Love A Woman
Donell Jones;Shorty (Got Her Eyes On Me)
Faithless;Mass Destruction
Faithless;We Come 1
Faithless;Reverence
Faithless;Salva Mea
Carly Simon;Blackbird
Brad Paisley;She's Everything
Lou Reed;Vicious
Faithless;What About Love
Nina Simone;Go To Hell
Faithless;Hour Of Need
DJ Krush;Road To Nowhere
Bic Runga;The Be All And End All
Bic Runga;Listening For The Weather
Finley Quaye;Overcome
zebrahead;The Real Me
Shabba Ranks;Mr. Loverman
Peter White;Don't Want To Be a Fool
The Lovin' Spoonful;Younger Generation
Nina Simone;I Want A Little Sugar In My Bowl
Nina Simone;Save Me
Nina Simone;Do I Move You
Sage Francis;Lie Detector Test
Xavier Rudd;Come Let Go
Suggs;I'm Only Sleeping
Morcheeba;Aqualung
Morcheeba;What New York Couples Fight About
Seeed;Schwinger
Seeed;Stand Up
Seeed;Tight Pants
All Saints;Dreams
Jose Padilla;Adios Ayer 2001
De/Vision;A Prayer
Pete Philly & Perquisite;Awake
The Corrs;Hideaway
Laleh;Salvation
Morcheeba;Small Town
Morcheeba;Almost Done
Morcheeba;Shoulder Holster (Diabolical Brothers Remix)
Seal;Kiss From A Rose (Kicks From A Rhodes Mix)
Morcheeba;Part Of The Process
Morcheeba;Friction
Morcheeba;Can't Stand It
The Subways;Rock & Roll Queen
All Saints;Pure Shores (Cosmos Remix)
Of Montreal;Faberge Falls For Shuggie
All Saints;Heaven
Atmosphere;Wild Wild Horses
36 Crazyfists;Only A Year Or So...
Lauryn Hill;Interlude 1
Wolf Parade;An Animal In Your Care
Wolf Parade;Kissing the Beehive
Jagged Edge;Can We Be Tight
Finley Quaye;The Emperor
Incubus;Consequence
Jagged Edge;Remedy
Vivian Green;Fanatic
Big Brovaz;Nu Flow
Maxwell;As My Girl
Madeleine Peyroux;Dance Me To The End Of Love
Creedence Clearwater Revival;Born On The Bayou
The Cardigans;Losers
The Cardigans;Black Letter Day
The Cardigans;Sabbath Bloody Sabbath
The Cardigans;Gordon's Gardenparty
Lionel Richie;Love Will Find A Way
Vanessa Paradis;La La La Song
Fergie;Big Girls Don't Cry
Elvis Costello;Watching The Detectives
Paul Weller;Country
The Orb;S.A.L.T.
Stereolab;With Friends Like These
Stereolab;The Free Design
Throwing Muses;Limbo
Kristin Hersh;Trouble
Emiliana Torrini;Honeymoon Child
Jon McLaughlin;Just Give It Time
Jay-Jay Johanson;Wonderful Combat
Phil Coulter;In Loving Memory
Finley Quaye;Falling
TLC;Diggin' On You
Kenny Loggins;The Real Thing
TLC;FanMail
Cat Stevens;I Think I See The Light
The Orb;Towers Of Dub
John Martyn;Call Me Crazy
Kool Keith;Blue Flowers
Ashanti;Foolish
John Martyn;Johnny Too Bad
John Martyn;Hurt In Your Heart
Emil Bulls;Quiet Night
Archive;All Time
Archive;Skyscraper
Archive;Parvaneh (Butterfly)
The Pussycat Dolls;Sway
Mos Def;Lifetime
Rakim;Waiting For The World To End
Karen Souza;Creep
Karen Souza;Do You Really Want To Hurt Me
Ronan Keating;Lost For Words
Martin Solveig;Jealousy
The Cardigans;Losing A Friend
Damian Marley;Welcome To Jamrock
Dr. Dre / Hittman;Big Ego's
Emiliana Torrini;Big Jumps
Mos Def;Umi Says
The Orb;Little Fluffy Clouds
Black Sheep;The Choice Is Yours
Vienna Teng;Mission Street
Vanessa Paradis;Bliss
The Alan Parsons Project;You Won't Be There
David Banner;Play
Nelly;Luven Me
Dave Brubeck;Take Five
Arab Strap;Autumnal
Arab Strap;Direction Of Strong Man
Regina Belle;Lazy Afternoon
Xavier Rudd;Generation Fade
Guns N' Roses;One In A Million
Madeleine Peyroux;Everybody's Talkin'
Madeleine Peyroux;(Looking For) The Heart Of Saturday Night
DJ Encore / Engelina;Out There
Nelly;Pimp Juice
Lauryn Hill;Everything Is Everything
John Martyn;I'd Rather Be The Devil
Snoop Dogg;Let's Get Blown
Thirteen Senses;Lead Us
LL Cool J;#1 Fan
Son Of Dork;Holly I'm The One
Edie Brickell;More Than Friends
T-Pain featuring Akon_ Diddy & Mary J. Blige;Change
Paul Weller;Foot Of The Mountain
Kevin Rudolf;Scarred
Faithless;Take The Long Way Home
Faithless;Six
Maxwell;NoOne
Maxwell;Now/At The Party
Rick Ross;Rich Off Cocaine
Air;The Vagabond
Phoenix;Run Run Run
Phoenix;If It's Not With You
Joss Stone;Spoiled
Joss Stone;Don't Know How
Dwele;Twuneanunda
Dwele;Subject
Dwele;Without You
Dwele;Lady At Mahogany
Yellowcard;Waiting Game
Fischerspooner;Turn On
Bob Evans;Nowhere Without You
Massive Attack;Small Time Shoot 'Em Up
Mano Negra;King Kong Five
Hot Chip;Look After Me
Pharrell;You Can Do It Too
Coldplay;High Speed
Massive Attack;Sly
Massive Attack;Light My Fire
The Sundays;I Won
The Verve;Weeping Willow
Unbelievable Truth;Solved
Gang Starr;Take It Personal
Future Sound Of London;We Have Explosive
The Verve;Lord I Guess I'll Never Know
Stacey Kent;Landslide
Royksopp;Vision One
Joss Stone;All The King's Horses
Caesars;Winter Song
KT Tunstall;Gone To The Dogs
Kelis;Trick Me
Kelis;Rolling Through The Hood
Hot Chip;A Family In Here
Hot Chip;One Pure Thought
Van Hunt;Seconds Of Pleasure
Chemical Brothers;Get Yourself High
Pati Yang;Switch Off The Sun
Mississippi John Hurt;Pay Day
Midnight Juggernauts;Shadows
Blessid Union Of Souls;Nora
Cracker;Dixie Babylon
Gang Starr;Take Two And Pass
Hot Chip;Boy From School (Cosmic Sandwich Remix)
Jadon Lavik;My Father's World
Jimmy Eat World;A Sunday
Maxwell;Playing Possum
Nouvelle Vague;Blister In The Sun
Joan As Police Woman;Holiday
Joan As Police Woman;Hard White Wall
Brother Ali;Forest Whitiker
Jose Padilla;Adios Ayer
Joan As Police Woman;Flushed Chest
Heather Nova;I'm The Girl
GRANDADDY;Lost On Yer Merry Way
Charlotte Gainsbourg;Everything I Cannot See
John Martyn;Dreams By The Sea
Kid Cudi;Soundtrack 2 My Life
Kid Cudi;Day 'N' Nite
Junior Boys;The Animator
Maximilian Hecker;Summer Days In Bloom
Junior Boys;In the Morning
Stephen Malkmus;Freeze the Saints
Donavon Frankenreiter;Fool
Nelly;My Place
Seal;Fly Like An Eagle
X-press 2 Feat. David Byrne;Lazy
Downhere;The Problem
Downhere;A Better Way
Hot Chip;Slush
Hot Chip;Alley Cats
Massive Attack;Babel
Massive Attack;Paradise Circus (Breakage's Tight Rope Remix)
Monica;Believing In Me
Karen Souza;Every breath you take
Morcheeba;Love Is Rare
Morcheeba;Love Sweet Love (Featuring Mr Complex)
Morcheeba;Shallow End
Kathryn Williams;White_ Blue and Red
Soul Coughing;Bus To Beelzebug
Soul Coughing;True Dreams Of Wichita
Soul Coughing;Soundtrack To Mary
Soul Coughing;How Many Cans
Faith No More;Stripsearch
She & Him;Don't Look Back
Thievery Corporation feat. Perry Farrell;Revolution Solution
Dar Williams;We Learned the Sea
Dixie Chicks;Truth No. 2
Gordon Gano;Impossible Love
Seeed;Walk Upright
Era;Dark Voices
CMW - Compton's Most Wanted;Hood Took Me Under
Ashanti;In These Streets
Fergie;Velvet
Joni Mitchell;If
Maxwell;Arroz Con Pollo
Maxwell;Get To Know Ya
Maxwell;Lifetime
Toto;The Turning Point
Pink Floyd;What Do You Want From Me (Live)
J.J. Cale;Change Your Mind
Faithless;Postcards
Morcheeba;Women Lose Weight (Feat: Slick Rick)
Orange Goblin;Cozmo Bozo
Broken Social Scene;Market Fresh
Broken Social Scene;Stomach Song
Mullmuzzler;Slow Burn
The Pierces;Turn On Billie
Hybrid;Fatal Beating
Way Out West;Anything But You
Way Out West;Fear
Hybrid;Until Tomorrow
Blackalicious;Back to the Essence
Wolf Parade;Call It a Ritual
Wolf Parade;California Dreamer
Bic Runga;Swim
Jagged Edge;In The Morning
Maxwell;Ascension (Don't Ever Wonder)
Babyface;She's International
Stellastarr*;Homeland
Vonda Shepard;Hooked On a Feeling
Cappadonna;Dart Throwing
Aerosmith;You See Me Crying
Spoon;Don't Make Me A Target
Joss Stone;Right To Be Wrong
Earlimart;Face Down In The Right Town
Jose Padilla;Close To You
Van Hunt;Hole In My Heart
Incubus;Deep Inside
Charlotte Gainsbourg;The Operation
Natalie Imbruglia;Come On Home
Portugal. The Man;The Woods
Take That;Why Can't I Wake Up With You
Faithless;Miss U Less_ See U More
Faithless;Angeline
Finley Quaye;I Need A Lover
Faithless;Liontamer
Faithless;A Kind Of Peace
Lionel Richie;Deep River Woman
Piers Faccini;Days Like These
Ashanti;Dreams
Simian Mobile Disco;I Believe
Gabriella Cilmi;Sit In The Blues
Jonny Lang;Darker Side
Cream;Spoonful
The Cardigans;Iron Man
Rakim;Stay A While
The Cardigans;Deuce
Midnight Juggernauts;Ending Of An Era
Red Snapper;Image Of You
Coldplay;The World Turned Upside Down
Incubus;Summer Romance (Anti-Gravity Love Song)
Incubus;Are You In?
Rae & Christian;The Hush
Toby Keith;American Soldier
Katie Melua;If The Lights Go Out
Parov Stelar;Chambermaid Swing
Jazzanova;Wasted Time
Papas Fritas;Far From An Answer
Papas Fritas;It's Over Now
Land Of Talk;Some Are Lakes
Dominique Dalcan;The Look Of Love
Moby;I Like It
Moby;Signs Of Love
Moby;I Love To Move In Here
Charlotte Gainsbourg;In The End
Booka Shade;Regenerate
John Martyn;Spencer The Rover
John Martyn;Make No Mistake
Maxwell;For Lovers Only
Maxwell;Silently
The Orb;Toxygene
Vivian Green;Under My Skin
KT Tunstall;Golden Age
Nada Surf;In The Mirror
Eek-A-Mouse;Terrorists In The City
Axwell & Sebastian Ingrosso vs Salem Al Fakir;It's True
TLC;Whoop De Woo
Arsenal;The Coming
David Gray;Caroline
Jem;Come on Closer
Incubus;Admiration
Old Crow Medicine Show;Down Home Girl
Madeleine Peyroux;Smile
Vetiver;Rolling Sea
Vetiver;Strictly Rule
Vetiver;At Forest Edge
Fever Ray;When I Grow Up
Clifford Brown / Max Roach;Blue Moon
Hybrid;I Know
Alison Krauss;Broadway
Brett Dennen;Because You Are a Woman
Brett Dennen;I Asked When
Air;Sing Sang Sung
Hot Chip;Take Care
Broken Social Scene;Sweetest Kill
Air;Cherry blossom girl
Gojira;From mars
Faithless;Fatty Boo
Soul Coughing;Rolling
Katherine Jenkins;Kiss From A Rose
Pink Floyd;Money
V V Brown;I Love You
Aqualung;7 Keys
Vienna Teng;Harbor
Tori Amos;Carbon
Yellowcard;How I Go
The Almost;Dirty And Left Out
Dido;Thank You
Enya;Someone Said Goodbye
Era;Cathar Rhythm
Enya;A Moment Lost
Irma Thomas / Norah Jones;Thinking About You
Joss Stone;Security
Olivia Newton-John;Love Is Letting Go Of Fear
Royksopp;Miss It So Much
Nina Simone;The Look Of Love
P.M. Dawn;Looking Through Patient Eyes
Madeleine Peyroux;Half The Perfect World
Ok Go;Let It Rain
Alison Krauss;That Kind Of Love
Lauryn Hill;I Find It Hard To Say (Rebel)
Chairlift;Planet Health
Edie Brickell;Good Times
Dido;Paris
Amos Lee;Arms Of A Woman
Chris Botti;When I Fall In Love
Townes Van Zandt;I'll Be Here In The Morning
Four Tops;I Got A Feeling
Charlotte Gainsbourg;Time Of The Assassins
Enya;Amid The Falling Snow
Cat Stevens;The Wind
Morcheeba;Tape Loop
Voxtrot;Sway
The Cardigans;Lead Me Into The Night
Archive;Londinium
A-Ha;The Fine Blue Line
Enya;Anywhere Is (Remastered 2009)
Mae;The Sun And The Moon
Alison Krauss / Union Station;When You Say Nothing At All
The Sundays;When I'm Thinking About You
Will Ackerman;Shella's Pictures
Chris Botti;The Look Of Love
Donavon Frankenreiter;Call Me Papa
Katie Melua;What It Says On The Tin
Donavon Frankenreiter;So Far Away
Lionel Richie;Don't Wanna Lose You
Dwele;Truth
Brad Mehldau;From This Moment On
Postal Service;The District Sleeps Alone Tonight
Jorma Kaukonen;Genesis
The Afghan Whigs;Faded
Patrick Watson;Slip Into Your Skin
Disciple;Shine Down
Enya;Trains And Winter Rains
Enya;Paint The Sky With Stars
Tori Amos;Bliss
GRANDADDY;O.K. With My Decay
Owl City;I'll Meet You There
Mia Doi Todd;Digital
Madeleine Peyroux;You're Gonna Make Me Lonesome When You Go
Madeleine Peyroux;To Love You All Over Again
Enya;Orinoco Flow
Gun Club;Sex beat
Patti Smith;Cash
Son House;Grinnin' In Your Face
Shearwater;Century Eyes
Kathryn Williams;Daydream and Saunter
Danzig;Devil's Plaything
Aerosmith;Fly Away From Here
Alison Moyet;Steal Me Blind
David Gray;Silver Lining
The Rakes;When Tom Cruise Cries
Finley Quaye;It's Great When We're Together
Enya;Long Long Journey
David Gray;December
Enya;River
Jim Brickman;Rocket To The Moon
Chris De Burgh;A Woman's Heart
REO Speedwagon;Take It On The Run
Owl City;Cave In
Kansas;Crossfire
Mylo;In My Arms
KT Tunstall;White Bird
Air - Beth Hirsch;You Make It Easy
Dido;Don't Leave Home
Linda Ronstadt;Tell Him I Said Hello
Jonny Lang;Lie To Me
Stephen Malkmus;Pencil Rot
Sheila Chandra;Blacksmith
David Gray;Freedom
Jon McLaughlin;Until You Got Love
The Association;Cherish
Landon Pigg;Falling In Love At A Coffee Shop
Coldplay;Speed Of Sound
Owl City;Vanilla Twilight
Brandy;Focus
Keyshia Cole;Love_ I Thought You Had My Back
Monica;Ain't Gonna Cry No More
Monica;U Should've Known Better
Brandy;Sittin' Up In My Room
Nitty Gritty Dirt Band;Dance Little Jean
The Almost;Everyone Here Smells Like A Rat
Jagged Edge;I Don't Wanna
Cartel;I Will Hide Myself Away/I Will Follow
Monica;Getaway
Keyshia Cole;Superstar
Edie Brickell;Olivia
Rush;In The End
Teitur;One And Only
Tori Amos;Lust
Nada Surf;Your Legs Grow
KT Tunstall;Someday Soon
Peter White;Crazy Love
Amos Lee;Kid
Morcheeba;The Sea
Amos Lee;Bottom Of the Barrel
Beyonc̩ and Bilal;Everything I Do
Neil Diamond;Brother Love's Traveling Salvation Show
Enya;The Magic Of The Night
Kelis;Milkshake
Regina Belle;Baby Come To Me
Adam Green;Bluebirds
Dixie Chicks;I'll Take Care Of You
Enya;Only Time
Faith No More;Easy
Lionel Richie;Ballerina Girl
Nicolette Larson;Lotta Love
Dido;Christmas Day
Amos Lee;Sympathize
Amos Lee;The Wind
Roxy Music;More Than This
Glenn Medeiros;Nothing's Gonna Change My Love For You
John Martyn;Head And Heart
Rivers Cuomo;I Was Made For You
Jon McLaughlin;Praying to the Wrong God
Coldplay;Things I Don't Understand
Stars;Ageless Beauty
Rush;Force Ten
Fightstar;Mono
LL Cool J;I Need Love
Cat Stevens;Longer Boats
Natalie Imbruglia;Sunlight
Katie Melua;Ghost Town
Jennifer Lopez;Play
Tori Amos;Cornflake Girl
Seeed;Goosebumps
Morcheeba;Be Yourself
Incubus;Privilege
Mariah Carey Featuring Joe & 98 Degrees;Thank God I Found You
Crystal Waters;Gypsy Woman (She's Homeless)
Venus Hum;Hummingbirds
Commodores;Brick House
Bic Runga;Blue Blue Heart
Tricky / The Mad Dog Reflex / Kioka Williams / DJ Muggs;Hot Like A Sauna
Madeleine Peyroux;Instead
KT Tunstall;I Don't Want You Now
Yellowcard;Paper Walls
Hot Chip;One Life Stand
Morcheeba;Let It Go
Black Kids;I Wanna Be Your Limousine
Rooney;Calling The World
The Velvet Underground;Run Run Run
Aerosmith;Mama Kin
Moby;James Bond Theme
Poe;Terrible Thought
Midlake;Head Home
Brett Dennen;So Long Sweet Misery
John Mayer Trio;Another Kind Of Green
Elvis Costello;Beautiful
Fall Out Boy;The (After) Life Of The Party
Ashanti;Only U
ANGELZOOM;Back in the moment (feat. joachim witt)
Xavier Rudd;The Letter
Donell Jones;Spend The Night
Natalie Imbruglia;Shiver
Babyface;How Come_ How Long
All Saints;Black Coffee
Morcheeba;Blindfold
Era;Misere Mani
Nicole Scherzinger / will.i.am;Baby Love
Toto;Africa
The Pussycat Dolls;Stickwitu
Madeleine Peyroux;Blue Alert
Commodores;Easy
Gwen Stefani;The Real Thing
Era;Sentence
Tina Turner;We Don't Need Another Hero (Thunderdome)
Joss Stone;For The Love Of You
Van Hunt;Hold My Hand
Amos Lee;Long Line Of Pain
Kelis;In The Morning
Seal;Get It Together (Roy's Soldiers Of Universal Love Remix)
Alison Moyet;That Ole Devil Called Love
Teitur;Poetry and Aeroplanes
John Martyn;May You Never
Maxwell;The Suite Urban Theme (The Hush)
The Verve;Rather Be
KT Tunstall;Another Place To Fall
Amos Lee;Won't Let Me Go
Silje Nergaard;Dance me love
Shelby Lynne;The Look Of Love
Incubus;Stellar
Babyface;For The Cool In You
Stacey Kent;East Of The Sun
Dido;Northern Skies
Junior Boys;Parallel Lines
Madeleine Peyroux;The Summer Wind
Rush;Entre Nous
Snoop Dogg;Sensual Seduction
Rush;Emotion Detector
Cat Stevens;Music
Elliott Smith;Independence Day
The Verve;This Could Be My Moment
Taylor Dayne;Tell It To My Heart
